Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
14700 BLOCK OF SE DIVISION ST,21-104651,Society,Centennial,4/18/21,2332,Weapon Law Violations,Weapons Law Violations,45.50416789,-122.5111549,4/19/21,1
14700 BLOCK OF SE STARK ST,21-63141,Society,Centennial,3/9/21,314,Weapon Law Violations,Weapons Law Violations,45.51910311,-122.5113444,3/9/21,1
14700 BLOCK OF SE STARK ST,21-241958,Society,Centennial,8/30/21,2143,Weapon Law Violations,Weapons Law Violations,45.51910311,-122.5113444,8/30/21,1
15000 BLOCK OF NE HALSEY ST,21-178066,Society,Wilkes,6/30/21,2344,Weapon Law Violations,Weapons Law Violations,45.53363075,-122.5080101,6/30/21,1
15000 BLOCK OF SE STARK ST,21-72295,Society,Glenfair,3/18/21,45,Weapon Law Violations,Weapons Law Violations,45.51919583,-122.5085533,3/18/21,1
15400 BLOCK OF NE ALTON ST,21-167006,Society,Wilkes,6/20/21,720,Weapon Law Violations,Weapons Law Violations,45.55050265,-122.5034878,6/20/21,1
15500 BLOCK OF SE KENSINGTON DR,21-680348,Society,,3/12/21,600,Weapon Law Violations,Weapons Law Violations,45.41956704,-122.5031655,3/12/21,1
15600 BLOCK OF SE STARK ST,21-239167,Society,Glenfair,8/28/21,24,Weapon Law Violations,Weapons Law Violations,45.51919518,-122.5021452,8/28/21,1
15700 BLOCK OF SE CLINTON ST,21-169859,Society,Centennial,6/23/21,511,Weapon Law Violations,Weapons Law Violations,45.50280971,-122.5014232,6/23/21,1
16000 BLOCK OF SE FLAVEL DR,21-39489,Society,Pleasant Valley,2/12/21,1034,Weapon Law Violations,Weapons Law Violations,45.47214741,-122.4979842,2/12/21,1
16000 BLOCK OF SE POWELL BLVD,21-196022,Society,Pleasant Valley,7/17/21,1840,Weapon Law Violations,Weapons Law Violations,45.49508716,-122.4984009,7/17/21,1
16100 BLOCK OF NE SANDY BLVD,21-48619,Society,Wilkes,2/22/21,1500,Weapon Law Violations,Weapons Law Violations,45.54956809,-122.4964927,2/22/21,1
16700 BLOCK OF SE DIVISION ST,21-1274,Society,Centennial,12/31/20,2350,Weapon Law Violations,Weapons Law Violations,45.50462556,-122.4900749,1/2/21,1
17400 BLOCK OF SE POWELL BLVD,21-105428,Society,Centennial,4/19/21,1927,Weapon Law Violations,Weapons Law Violations,45.49220523,-122.4843894,4/19/21,1
17400 BLOCK OF SE POWELL BLVD,21-164931,Society,Centennial,6/18/21,44,Weapon Law Violations,Weapons Law Violations,45.49220523,-122.4843894,6/18/21,1
20100 BLOCK OF NE BROADWAY CT,21-187519,Society,,7/9/21,1750,Weapon Law Violations,Weapons Law Violations,45.53511237,-122.455979,7/9/21,1
BROADWAY BRG / NW NAITO PKWY,21-131870,Society,Pearl,5/16/21,1332,Weapon Law Violations,Weapons Law Violations,45.53069471,-122.6762274,5/16/21,1
BURNSIDE BRG / NW NAITO PKWY,21-113496,Society,Old Town/Chinatown,4/28/21,700,Weapon Law Violations,Weapons Law Violations,45.52310289,-122.6702847,4/28/21,1
E BURNSIDE ST / SE 102ND AVE,21-67324,Society,Hazelwood,3/13/21,220,Weapon Law Violations,Weapons Law Violations,45.52255429,-122.5582978,3/13/21,1
E BURNSIDE ST / SE 102ND AVE,21-108131,Society,Hazelwood,4/22/21,1704,Weapon Law Violations,Weapons Law Violations,45.52255429,-122.5582978,4/22/21,1
N DRUMMOND AVE / N HUNT ST,21-43454,Society,Kenton,2/17/21,1205,Weapon Law Violations,Weapons Law Violations,45.58559162,-122.699485,2/17/21,1
N FESSENDEN ST / N ADRIATIC AVE,21-79239,Society,Portsmouth,3/25/21,150,Weapon Law Violations,Weapons Law Violations,45.59120593,-122.7190154,3/25/21,1
